Respondent_Serial,brand,OSAT,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Has a wide range of ingredients,Portions are the right size for my appetite,Is worth the price,Is a good value for the money,Has enticing promotional offers,Ordering is simple and easy,Integrates technology into its ordering process,Restaurant is clean,Ingredients are fresh,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,State,sales,Total subs sold in a year,Payment Used,Wait Time
2,Subway,4,4,6,3,3,1,2,3,4,3,4,5,3,5,6,Arizona,6751.428327,839404.4575,Cash,10
2,McDonalds,2,1,1,1,3,1,1,5,2,1,4,2,1,2,2,Arkansas,7419.167267,823107.7033,Samsung Pay,15
5,Firehouse Subs,5,5,4,6,5,4,4,3,4,4,5,3,5,4,5,Connecticut,4071.045193,749323.3127,Cash,9
5,Panera,5,6,7,5,5,5,6,7,7,5,7,5,6,5,6,Delaware,6693.474173,503603.6088,Samsung Pay,11
7,Firehouse Subs,5,6,4,3,3,5,4,4,3,3,4,5,4,5,5,Florida,5483.191298,11051.65206,Samsung Pay,9
7,Jimmy Johns,4,3,3,4,3,4,4,4,5,4,4,4,4,5,4,Georgia,6846.421791,755211.4835,Google Pay,12
10,Subway,6,6,6,6,6,7,5,6,6,6,7,6,6,6,7,Hawaii,1210.936965,418751.094,Debit Card,13
10,McDonalds,6,5,6,6,5,5,5,6,6,6,6,5,6,5,6,Idaho,240.9101751,140575.9976,Debit Card,12
17,McDonalds,6,6,7,7,5,7,5,6,7,5,6,6,7,6,6,Kentucky,5897.553135,405404.3805,Samsung Pay,6
19,Firehouse Subs,2,7,5,5,5,4,4,5,5,5,5,5,6,2,4,Louisiana,6392.301485,123291.8159,Credit Card,14
19,Jersey Mikes,4,5,4,6,6,3,5,6,5,5,4,5,6,6,5,Maine,8721.279821,273425.9396,Samsung Pay,11
20,Jersey Mikes,4,4,3,3,4,3,4,3,4,3,3,4,3,4,3,Massachusetts,6564.14437,876608.791,Credit Card,7
21,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Michigan,8941.542895,215702.3555,Cash,5
21,McDonalds,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,Minnesota,1900.108926,679562.6897,Debit Card,8
22,Subway,5,5,6,6,6,5,5,5,6,5,6,6,5,6,7,Mississippi,3814.04511,971098.8727,Cash,8
22,McDonalds,5,4,3,4,4,3,5,5,6,6,6,4,4,4,4,Missouri,9575.751867,161747.0288,Apple Pay,10
26,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Montana,5168.071311,600230.1372,Samsung Pay,14
26,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Nebraska,8148.077749,727464.3238,Apple Pay,8
27,Chipotle,7,6,5,5,5,6,5,5,5,7,5,7,6,7,6,Nevada,5480.710657,900422.6521,Google Pay,13
27,Panera,6,5,6,6,5,6,6,6,6,5,6,5,5,6,5,New Hampshire,5399.636959,505122.6946,Google Pay,9
29,Chipotle,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,New Jersey,4003.302944,377217.8582,Debit Card,13
30,Jimmy Johns,5,5,6,6,6,5,6,6,5,7,6,7,6,5,5,New York,6674.586548,863193.2978,Apple Pay,13
30,Panera,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,North Carolina,6583.326788,770494.949,Samsung Pay,12
31,Subway,5,5,6,6,6,4,6,4,7,5,6,6,4,7,7,North Dakota,8319.874563,766201.3694,Samsung Pay,12
31,Panera,6,4,4,3,3,2,3,2,2,2,5,4,4,3,4,Ohio,4742.980393,692845.341,Google Pay,6
32,Subway,6,7,7,7,6,5,7,5,7,5,5,7,7,7,7,Oklahoma,6060.497889,933185.1516,Samsung Pay,13
32,McDonalds,6,6,4,5,7,6,5,7,7,7,6,7,7,4,5,Oregon,9786.807063,778617.3153,Apple Pay,10
33,Subway,4,4,6,6,5,3,5,4,6,5,4,6,7,5,5,Pennsylvania,9298.980162,35661.60619,Google Pay,14
33,Jersey Mikes,3,4,5,4,2,4,4,4,6,4,6,6,5,7,6,Rhode Island,7667.635162,964174.0723,Google Pay,15
44,Chipotle,6,4,4,5,6,6,6,5,7,4,7,6,6,6,3,Tennessee,8985.643004,590314.7388,Credit Card,13
44,Panera,6,6,4,4,6,6,6,4,5,4,6,6,4,5,6,Texas,2198.191997,91119.259,Debit Card,14
48,Jersey Mikes,7,5,5,5,5,5,5,3,5,4,5,7,5,5,5,West Virginia,4855.791182,731710.5741,Google Pay,10
48,McDonalds,4,4,3,4,3,5,4,4,4,3,3,3,4,4,4,Wisconsin,2196.772925,87119.72362,Credit Card,5
52,Firehouse Subs,5,7,5,5,6,6,6,6,6,6,6,6,6,7,6,Wyoming,3.391357532,259585.6227,Google Pay,7
52,Jersey Mikes,6,6,6,5,7,7,7,7,6,6,7,6,6,7,7,Alabama,2469.880883,669016.5864,Credit Card,7
54,Jimmy Johns,4,3,4,4,5,2,3,3,4,1,5,3,5,4,4,Alaska,4585.270682,840848.4234,Credit Card,9
57,Firehouse Subs,7,5,5,5,4,5,7,5,6,6,7,6,7,7,6,Colorado,3044.555783,546360.6358,Google Pay,14
57,Jimmy Johns,7,6,7,6,7,6,6,7,7,6,6,7,4,7,6,Connecticut,161.3902895,270612.5488,Credit Card,8
60,Firehouse Subs,6,5,6,6,6,6,5,6,5,6,5,5,6,6,5,Delaware,1137.356345,765909.3174,Debit Card,5
60,Jersey Mikes,6,6,4,5,5,6,7,7,5,5,6,7,5,6,6,Florida,3097.910644,540627.1698,Samsung Pay,13
62,Jimmy Johns,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,Georgia,7568.276393,692574.8427,Apple Pay,8
62,McDonalds,7,6,6,6,6,6,6,6,6,6,6,6,5,6,6,Hawaii,6855.441266,831143.5044,Debit Card,14
64,Jersey Mikes,3,4,3,4,5,3,2,4,4,3,5,4,3,3,3,Idaho,6194.117859,521854.624,Google Pay,6
64,Jimmy Johns,4,3,2,3,4,2,2,3,6,3,2,3,4,3,4,Illinois,7214.600737,477508.7523,Apple Pay,15
65,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Indiana,4764.182585,848216.683,Credit Card,6
65,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,Iowa,2494.459605,283976.6402,Cash,15
76,Jimmy Johns,6,7,6,7,7,7,7,7,7,6,7,7,7,7,7,Maine,6781.46491,815178.4087,Cash,10
79,Subway,6,5,4,4,6,6,7,7,5,5,6,5,5,3,7,Maryland,1443.294669,819085.1491,Samsung Pay,7
79,Panera,6,5,5,5,5,6,4,5,6,3,5,4,5,5,7,Massachusetts,4832.561078,752587.205,Samsung Pay,11
80,Jersey Mikes,6,5,6,5,6,5,5,5,5,5,5,6,6,5,6,Michigan,3655.539598,969959.1522,Cash,6
80,Panera,6,5,5,5,5,4,4,4,5,4,5,5,5,5,5,Minnesota,8488.895737,124614.8866,Cash,9
82,Chipotle,2,3,2,2,3,1,2,2,4,3,2,2,2,2,2,Mississippi,8819.405747,258606.3518,Cash,14
82,Jersey Mikes,2,2,1,3,4,2,2,1,3,1,2,2,2,2,3,Missouri,1567.711017,161073.1974,Google Pay,9
84,Firehouse Subs,6,6,4,6,5,6,6,7,5,7,5,6,6,6,6,Montana,8458.24231,378530.9569,Samsung Pay,9
84,Jersey Mikes,5,5,6,4,6,5,6,7,7,4,7,7,5,7,6,Nebraska,1126.977549,19241.18314,Samsung Pay,13
85,Jimmy Johns,4,5,5,5,4,7,5,6,5,5,5,6,6,5,3,Nevada,4106.570627,234308.5678,Credit Card,15
85,Panera,5,6,4,5,5,5,6,6,5,5,4,4,6,6,5,New Hampshire,3269.784837,968197.1626,Google Pay,6
86,Subway,3,4,6,3,4,3,3,4,6,3,7,6,5,6,7,New Jersey,7347.782333,481871.8976,Samsung Pay,9
86,Jimmy Johns,2,5,5,5,3,2,5,2,5,4,6,6,6,5,6,New Mexico,2576.967999,539648.9661,Google Pay,9
88,Jimmy Johns,7,7,7,5,5,7,7,5,6,7,7,6,7,7,7,Ohio,2244.427227,517982.7054,Cash,6
89,McDonalds,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Oklahoma,3273.919469,408965.9349,Samsung Pay,10
89,Panera,4,5,2,3,4,1,1,1,6,1,4,3,2,1,1,Oregon,970.7887487,266910.1264,Cash,8
92,Chipotle,6,5,5,5,5,5,5,5,5,4,5,5,5,5,4,Pennsylvania,9658.805547,496463.3089,Cash,5
92,Jimmy Johns,5,6,7,6,6,6,6,5,6,5,6,7,6,6,6,Rhode Island,754.2894365,529580.0782,Credit Card,12
93,Subway,6,4,5,6,4,7,5,7,5,4,6,6,6,4,6,South Carolina,3277.852768,670012.7847,Google Pay,6
93,McDonalds,4,3,4,4,4,4,4,2,5,5,3,4,5,3,3,South Dakota,2455.541628,611535.6601,Google Pay,15
96,Subway,3,3,5,5,5,5,3,6,5,3,5,5,4,6,6,Tennessee,1455.778553,58385.81533,Cash,8
97,Subway,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,Utah,6157.13309,996300.4849,Apple Pay,7
97,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Vermont,6144.252974,660460.5943,Apple Pay,6
101,Firehouse Subs,6,6,6,6,6,7,7,6,6,4,6,6,7,6,6,West Virginia,8034.34483,27390.48544,Samsung Pay,11
116,McDonalds,6,6,6,6,4,7,5,6,7,5,4,5,6,5,6,Florida,1068.503081,282161.2079,Credit Card,12
121,Jersey Mikes,4,4,6,4,7,4,6,4,4,5,3,6,5,5,5,Idaho,3399.278975,339410.446,Google Pay,14
121,Jimmy Johns,4,4,3,4,4,5,5,4,5,4,4,5,5,4,5,Illinois,5354.886107,500956.9524,Debit Card,6
123,Subway,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,Indiana,4812.868626,963761.1522,Google Pay,13
123,McDonalds,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Iowa,1263.226746,798644.3001,Credit Card,6
125,Subway,5,5,4,7,6,6,6,3,6,7,6,4,6,6,7,Kansas,9710.948075,368753.1327,Samsung Pay,14
125,McDonalds,4,1,1,2,3,2,2,3,5,6,3,1,1,1,1,Kentucky,2138.371998,667969.4142,Debit Card,10
127,Firehouse Subs,6,5,6,5,6,7,7,5,7,6,6,6,7,7,6,Louisiana,2515.233979,336504.3897,Cash,5
127,Jersey Mikes,6,6,7,7,6,7,6,7,6,7,7,7,7,7,7,Maine,9905.678258,209918.9418,Cash,12
134,Jimmy Johns,7,7,7,6,7,7,6,7,7,7,7,7,7,6,7,Minnesota,9363.355141,141938.4036,Debit Card,10
134,Panera,7,7,7,6,7,7,7,7,6,6,7,7,7,6,6,Mississippi,1574.634871,766549.0201,Cash,12
138,Chipotle,4,5,4,4,3,3,4,5,4,4,3,3,4,5,4,Missouri,227.7301457,530636.592,Cash,10
138,Jimmy Johns,3,4,3,4,3,4,3,4,4,5,5,3,4,4,5,Montana,6065.72035,314149.3192,Cash,12
144,Firehouse Subs,4,5,5,4,4,5,5,5,7,3,6,5,4,5,5,Nebraska,4442.835778,684577.1249,Samsung Pay,11
144,Jimmy Johns,5,5,4,3,5,4,5,4,7,4,7,4,5,4,5,Nevada,3290.86041,854797.9388,Samsung Pay,5
145,Subway,3,4,3,3,3,2,3,3,3,2,3,3,3,3,3,New Hampshire,662.8952213,157499.1994,Cash,11
145,McDonalds,3,4,2,2,3,3,3,2,3,5,4,3,3,3,2,New Jersey,7202.278155,51649.93434,Debit Card,7
152,McDonalds,3,4,2,3,2,3,2,2,3,2,1,2,1,2,1,New Mexico,564.5320055,194431.6529,Cash,13
153,Chipotle,7,5,5,5,7,4,5,3,6,4,6,7,7,7,4,New York,6783.918314,661663.1747,Apple Pay,8
153,Panera,7,6,4,5,5,5,6,3,7,4,6,6,6,4,7,North Carolina,7691.952784,717372.0348,Cash,5
155,Firehouse Subs,6,7,6,5,6,5,6,7,7,5,6,7,5,6,5,North Dakota,3258.197724,627423.0991,Samsung Pay,6
155,Jersey Mikes,6,6,6,6,4,6,7,6,6,7,7,7,6,5,6,Ohio,8213.55105,189813.3217,Credit Card,11
159,Chipotle,4,5,4,5,6,5,5,5,5,5,5,5,6,6,5,Oklahoma,9009.964081,963000.7435,Debit Card,8
159,Panera,5,4,3,3,4,4,3,3,4,4,4,2,4,3,3,Oregon,3365.021683,7036.867277,Samsung Pay,6
164,Jersey Mikes,6,7,7,7,6,7,6,7,7,5,7,7,7,7,7,South Carolina,3815.610845,406317.1173,Google Pay,7
164,Jimmy Johns,6,5,6,7,6,7,7,4,7,6,7,6,6,7,7,South Dakota,1330.090155,766458.7412,Google Pay,11
167,McDonalds,2,1,1,1,1,1,1,1,4,4,1,1,1,3,1,Vermont,5098.345658,500874.8139,Google Pay,5
169,Jersey Mikes,7,2,3,3,3,4,4,4,3,2,6,4,4,3,4,Washington,8025.498066,112737.0675,Credit Card,7
175,Panera,5,7,7,3,6,7,5,7,5,5,6,4,6,6,6,Alabama,4484.123364,224014.6046,Credit Card,15
194,Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Delaware,1389.974813,336079.1516,Apple Pay,13
199,Chipotle,5,5,5,5,5,6,4,4,5,5,5,5,5,5,5,Georgia,5763.712398,923738.7476,Google Pay,9
200,Subway,4,6,6,6,6,6,5,4,6,5,6,6,6,6,6,Idaho,5425.397865,404750.8894,Apple Pay,10
200,McDonalds,4,4,3,4,3,3,4,4,5,5,5,4,3,3,4,Illinois,949.6645096,627833.9532,Apple Pay,11
201,McDonalds,5,6,3,4,5,5,5,5,6,6,6,4,4,4,4,Iowa,9003.38832,109377.8993,Samsung Pay,8
207,McDonalds,5,5,4,4,5,4,6,4,6,6,5,5,4,4,6,Kansas,6471.369452,327499.7633,Debit Card,15
207,Panera,5,6,6,5,6,5,6,4,6,6,5,6,6,5,6,Kentucky,8505.244278,751962.4195,Apple Pay,5
208,Chipotle,3,4,4,3,4,4,3,3,4,4,4,3,4,3,3,Louisiana,6419.157367,101958.833,Apple Pay,11
208,Panera,4,5,4,4,4,4,4,4,5,5,5,5,4,4,5,Maine,5912.94638,144191.2334,Credit Card,7
209,Subway,7,7,7,7,7,7,6,3,5,6,7,7,7,7,7,Maryland,4401.116742,401098.597,Apple Pay,6
209,McDonalds,7,3,3,5,2,5,3,5,4,7,4,4,3,4,4,Massachusetts,3686.450304,762529.2272,Apple Pay,15
210,Subway,6,7,7,6,7,6,7,7,6,6,7,7,7,7,7,Michigan,5231.510635,756004.2978,Samsung Pay,7
210,McDonalds,3,4,1,2,2,3,4,2,5,2,3,3,2,2,2,Minnesota,5818.446192,846274.0065,Credit Card,12
